0 11,6653
0,97 11,5923
1,901 11,5332
2,864 11,4667
3,803 11,4086
4,802 11,3459
5,801 11,2784
6,802 11,2103
7,802 11,1398
8,802 11,0783
9,802 11,0155
10,801 10,9472
11,801 10,8852
12,802 10,8111
13,801 10,7502
14,802 10,6856
15,801 10,6295
16,8 10,5619
17,8 10,4999
18,8 10,4267
19,8 10,368
20,8 10,3194
21,801 10,2601
22,8 10,1876
23,801 10,1312
24,801 10,0719
25,8 10,0136
26,806 9,957
27,801 9,8906
28,802 9,8368
29,801 9,7684
30,802 9,716
31,801 9,6606
32,802 9,5928
33,802 9,5363
34,801 9,4762
35,802 9,4226
36,802 9,364
37,801 9,3037
38,801 9,25
39,801 9,2022
40,801 9,1433
41,802 9,0916
42,802 9,0271
43,801 8,9737
44,807 8,9215
45,801 8,8704
46,802 8,8138
47,801 8,7567
48,801 8,7085
49,802 8,6534
50,801 8,6108
51,802 8,5548
52,801 8,4991
53,802 8,4459
54,801 8,3898
55,802 8,348
56,801 8,2937
57,802 8,2439
58,802 8,1911
59,801 8,1395
60,802 8,0917
61,801 8,0401
62,801 7,9939
63,802 7,9386
64,801 7,8928
65,802 7,8454
66,802 7,7987
67,802 7,754
68,801 7,706
69,801 7,6618
70,801 7,6098
71,802 7,5616
72,802 7,5092
73,802 7,4603
74,801 7,4228
75,802 7,3733
76,802 7,3339
77,802 7,2746
78,801 7,2311
79,801 7,1826
80,801 7,1465
81,802 7,102
82,802 7,0607
83,801 7,0147
84,801 6,9663
85,802 6,929
86,806 6,8871
87,802 6,8416
88,801 6,8006
89,802 6,7599
90,802 6,7123
91,802 6,6721
92,801 6,6227
93,801 6,5792
94,801 6,5327
95,801 6,5
96,802 6,4563
97,801 6,4234
98,802 6,3851
99,801 6,337
