0 19,0747
0,969 19,0252
1,901 18,9844
2,891 18,9393
3,891 18,8767
4,892 18,8223
5,891 18,7815
6,891 18,7108
7,892 18,6647
8,891 18,5965
9,891 18,5533
10,892 18,4954
11,892 18,4391
12,891 18,3796
13,892 18,3212
14,892 18,2623
15,892 18,2063
16,891 18,151
17,892 18,1049
18,892 18,0544
19,891 17,9993
20,891 17,9485
21,892 17,8863
22,891 17,8341
23,892 17,7814
24,892 17,72
25,891 17,6721
26,891 17,6135
27,892 17,5523
28,892 17,4994
29,891 17,4463
30,891 17,4017
31,891 17,3453
32,892 17,3032
33,892 17,2564
34,891 17,1933
35,891 17,1387
36,891 17,0989
37,892 17,0378
38,891 16,9931
39,891 16,9393
40,892 16,8951
41,892 16,8311
42,891 16,7783
43,892 16,7289
44,891 16,6787
45,891 16,6295
46,892 16,5797
47,891 16,5374
48,892 16,4932
49,892 16,4444
50,891 16,3876
51,891 16,3422
52,892 16,2972
53,892 16,2544
54,891 16,2023
55,891 16,1383
56,892 16,0947
57,892 16,0456
58,892 15,9974
59,892 15,9401
60,891 15,9012
61,891 15,8501
62,892 15,8194
63,891 15,7748
64,892 15,7237
65,891 15,6685
66,892 15,6352
67,892 15,6063
68,892 15,5511
69,891 15,4988
70,891 15,4627
71,891 15,4001
72,892 15,3717
73,892 15,3287
74,891 15,2807
75,892 15,2439
76,891 15,194
77,892 15,1558
78,891 15,1107
79,891 15,0625
80,892 15,0134
81,891 14,9822
82,891 14,9509
83,892 14,8994
84,891 14,8324
85,892 14,8051
86,891 14,7649
87,892 14,7165
88,891 14,665
89,892 14,6226
90,891 14,5722
91,891 14,5362
92,891 14,4855
93,891 14,4559
94,891 14,4115
95,891 14,3803
96,892 14,339
97,891 14,2999
98,892 14,2558
99,891 14,2101
100,891 14,1632
101,892 14,1166
102,891 14,0872
103,892 14,0481
104,891 14,0228
105,892 13,9688
106,892 13,9294
107,891 13,9011
108,891 13,8707
109,891 13,8246
110,891 13,7867
111,892 13,7344
112,891 13,6966
113,892 13,6557
114,891 13,6388
115,892 13,5992
116,891 13,5707
117,892 13,5152
118,891 13,4828
119,892 13,435
120,891 13,4013
121,892 13,3674
122,891 13,3235
123,892 13,2866
124,891 13,2454
125,892 13,2007
126,891 13,1651
127,892 13,1204
128,892 13,0724
129,891 13,0377
130,891 13,0022
131,892 12,9681
132,892 12,9377
133,891 12,899
134,891 12,865
135,892 12,8251
136,891 12,7893
137,891 12,7678
138,891 12,7127
139,892 12,6829
140,891 12,6533
141,891 12,6142
142,892 12,5685
143,892 12,5345
144,891 12,5033
145,891 12,4725
146,892 12,4358
147,892 12,3954
148,892 12,3673
149,891 12,3099
150,892 12,283
151,892 12,2476
152,891 12,2218
153,891 12,1798
154,892 12,1488
155,892 12,1004
156,891 12,0683
157,891 12,0491
158,892 12,0121
159,891 11,973
160,892 11,944
161,891 11,9103
162,892 11,8668
163,892 11,8314
164,892 11,7958
165,891 11,7705
166,892 11,7252
167,892 11,7029
168,891 11,6717
169,892 11,6364
170,892 11,5979
171,891 11,55
172,892 11,537
173,892 11,5055
174,892 11,4747
175,891 11,455
176,891 11,4086
177,892 11,3811
178,891 11,3605
179,892 11,3243
180,891 11,2982
181,891 11,2477
182,891 11,2193
183,892 11,2105
184,891 11,1539
185,891 11,1302
186,892 11,0973
187,891 11,0616
188,891 11,0344
189,892 11,0014
190,891 10,9754
191,892 10,9562
192,891 10,9229
193,892 10,8861
194,891 10,8632
195,892 10,8194
196,891 10,79
197,892 10,7572
198,891 10,7251
199,892 10,6854
200,892 10,6523
201,892 10,6318
202,89 10,5887
203,89 10,5754
204,89 10,5368
205,89 10,506
206,891 10,4867
207,891 10,4564
208,891 10,4368
209,89 10,4048
210,891 10,377
211,891 10,342
212,891 10,3037
213,89 10,2719
214,89 10,2465
215,89 10,219
216,89 10,1819
217,89 10,1494
218,891 10,1183
219,89 10,087
220,89 10,0581
221,891 10,0463
222,89 10,0104
223,892 9,9832
224,892 9,9476
225,891 9,9086
