0 14,7238
1,049 14,7064
2,1 14,6811
3,099 14,6696
4,1 14,6583
5,099 14,6316
6,099 14,6123
7,099 14,5943
8,1 14,5739
9,099 14,5511
10,1 14,5297
11,1 14,5043
12,099 14,4855
13,1 14,455
14,099 14,4386
15,099 14,4135
16,099 14,3962
17,1 14,3678
18,099 14,349
19,1 14,3295
20,1 14,3061
21,1 14,2858
22,099 14,2633
23,1 14,2344
24,099 14,2218
25,099 14,1914
26,099 14,1665
27,1 14,144
28,099 14,1208
29,1 14,1059
30,1 14,0852
31,1 14,0546
32,099 14,0332
33,099 14,0161
34,099 13,9962
35,1 13,9696
36,099 13,9467
37,1 13,926
38,1 13,9155
39,099 13,8878
40,099 13,8674
41,099 13,8462
42,1 13,8236
43,099 13,8095
44,1 13,788
45,099 13,7693
46,099 13,7515
47,1 13,7386
48,099 13,7193
49,099 13,6955
50,1 13,6734
51,1 13,6548
52,1 13,6381
53,099 13,618
54,1 13,6057
55,099 13,5796
56,099 13,5561
57,1 13,5466
58,099 13,5257
59,1 13,514
60,1 13,4872
61,1 13,4769
62,099 13,4542
63,099 13,4353
64,1 13,4144
65,099 13,3874
66,1 13,3712
67,099 13,3543
68,1 13,339
69,1 13,319
70,099 13,3056
71,099 13,282
72,1 13,2632
73,1 13,2446
74,1 13,2337
75,1 13,2182
76,099 13,199
77,1 13,1932
78,1 13,1709
79,1 13,1535
80,099 13,1319
81,1 13,1165
82,099 13,0976
83,099 13,0848
84,1 13,0605
85,1 13,0459
86,099 13,0323
87,1 13,011
88,099 13,0002
89,1 12,986
90,1 12,9731
91,099 12,956
92,1 12,9448
93,1 12,9314
94,1 12,9199
95,1 12,8997
96,1 12,8889
97,099 12,8735
98,099 12,857
99,1 12,8412
100,1 12,8289
101,099 12,8028
102,099 12,7909
103,1 12,7727
104,099 12,7591
105,1 12,7434
106,099 12,7239
107,1 12,7066
108,1 12,6945
109,099 12,6776
110,1 12,6677
111,099 12,6546
112,1 12,6417
113,099 12,6208
114,1 12,6049
115,1 12,5923
116,1 12,5759
117,099 12,5654
118,1 12,5482
119,099 12,5315
120,1 12,5125
121,099 12,502
122,099 12,4912
123,1 12,4776
124,1 12,4581
125,099 12,4449
126,099 12,4291
127,1 12,4153
128,1 12,3982
129,099 12,3866
130,099 12,3743
131,1 12,3561
132,1 12,3413
133,099 12,3246
134,099 12,324
135,099 12,2988
136,099 12,2874
137,1 12,2704
138,1 12,2642
139,099 12,2524
140,099 12,233
141,1 12,2194
142,1 12,2031
143,099 12,1904
144,099 12,1707
145,099 12,1616
146,1 12,1542
147,099 12,1465
148,1 12,1208
149,1 12,1078
150,099 12,0953
151,1 12,0821
152,099 12,072
153,099 12,0565
154,099 12,0443
155,1 12,0351
156,1 12,0213
157,099 12,0078
158,099 11,994
159,1 11,9726
160,099 11,964
161,1 11,9494
162,1 11,9398
163,099 11,9305
164,099 11,9276
165,1 11,9022
166,099 11,8923
167,1 11,8817
168,1 11,8659
169,099 11,8536
170,1 11,8371
171,1 11,8277
172,099 11,8097
173,099 11,8012
174,1 11,7839
175,1 11,7792
176,1 11,7777
177,1 11,756
178,099 11,7405
179,099 11,7235
180,099 11,713
181,099 11,7053
182,099 11,6909
183,099 11,6837
184,099 11,6641
185,099 11,6559
186,099 11,6466
187,099 11,6261
188,099 11,6205
189,1 11,6129
190,099 11,6011
191,099 11,5919
192,1 11,5854
193,099 11,5606
194,1 11,5444
195,1 11,538
196,1 11,5243
197,099 11,5098
198,099 11,5013
199,1 11,4793
200,099 11,4703
201,099 11,4639
202,1 11,457
203,1 11,4379
204,1 11,4303
205,099 11,4161
206,1 11,4026
207,099 11,3923
208,1 11,3842
209,099 11,3696
210,099 11,3613
211,1 11,3547
212,099 11,3304
213,1 11,3152
214,1 11,3016
215,099 11,3004
216,099 11,2838
217,1 11,2783
218,099 11,262
219,1 11,249
220,099 11,2392
221,1 11,2298
222,099 11,2172
223,099 11,2087
224,1 11,195
225,1 11,1909
226,1 11,1797
227,1 11,1666
228,099 11,1543
229,099 11,1434
230,099 11,136
231,099 11,1226
232,1 11,1082
233,1 11,0972
234,1 11,091
235,099 11,0761
236,099 11,0613
237,099 11,0574
238,1 11,0401
239,1 11,0318
240,099 11,0253
241,099 11,0056
242,1 11,0022
243,1 10,9836
244,1 10,9718
245,099 10,9634
246,099 10,9505
247,099 10,938
248,1 10,9273
249,1 10,9183
250,099 10,9051
251,1 10,8951
252,099 10,8867
253,1 10,8813
254,1 10,8676
255,099 10,8552
256,1 10,8432
257,099 10,8348
258,1 10,8275
259,1 10,8103
260,099 10,8036
261,099 10,7949
262,1 10,7837
263,099 10,7728
264,1 10,7552
265,1 10,7482
266,099 10,7378
267,1 10,7212
268,099 10,714
269,099 10,7041
270,1 10,6895
271,099 10,6827
272,1 10,6706
273,1 10,6605
274,099 10,6456
275,099 10,6396
276,1 10,6304
277,099 10,6068
278,1 10,6073
279,098 10,5921
280,098 10,5789
281,098 10,5732
282,098 10,5691
283,098 10,55
284,099 10,5394
285,098 10,5334
286,099 10,5311
287,098 10,5139
288,098 10,503
289,099 10,4951
290,099 10,4834
291,098 10,4686
292,098 10,467
293,098 10,4529
294,098 10,4423
295,099 10,4317
296,098 10,4257
297,098 10,4147
298,099 10,4058
299,099 10,3954
300,098 10,3826
301,098 10,37
302,098 10,3613
303,098 10,3477
304,098 10,3412
305,099 10,3296
306,099 10,3238
307,098 10,3121
308,098 10,3008
309,098 10,2952
310,099 10,2848
311,098 10,2714
312,098 10,2617
313,099 10,255
314,098 10,2489
315,098 10,2374
316,099 10,2208
317,098 10,2071
318,098 10,1961
319,098 10,1917
320,098 10,1832
321,099 10,1671
322,098 10,1601
323,098 10,1492
324,099 10,1439
325,098 10,1363
326,099 10,1255
327,099 10,1219
328,098 10,1089
329,098 10,0954
330,098 10,0821
331,098 10,0779
332,098 10,0609
333,098 10,0546
334,099 10,0434
335,099 10,0268
336,098 10,0173
337,098 10,0127
338,099 10,0006
339,1 9,9978
340,1 9,9794
341,099 9,9815
342,1 9,9755
343,099 9,9685
344,1 9,9571
345,099 9,9506
346,099 9,9392
347,1 9,9245
348,099 9,9173
349,1 9,9032
350,1 9,8974
351,1 9,8787
352,099 9,8686
353,1 9,8636
354,099 9,861
355,099 9,8468
356,1 9,8464
357,099 9,8334
358,099 9,8235
359,1 9,8151
360,099 9,804
361,1 9,7928
362,099 9,7858
363,099 9,7734
364,1 9,7637
365,1 9,7593
366,099 9,7436
367,1 9,7349
368,099 9,7298
369,099 9,7238
370,1 9,7128
371,1 9,7083
372,099 9,7016
373,1 9,6854
374,1 9,6793
375,1 9,6636
376,1 9,6616
377,099 9,6521
378,1 9,6392
379,099 9,6271
380,1 9,617
381,099 9,6113
382,099 9,6003
383,1 9,5946
384,099 9,5803
385,1 9,5702
386,099 9,5624
387,1 9,5467
388,099 9,5384
389,1 9,5289
390,099 9,5171
391,099 9,5067
392,1 9,496
393,099 9,4881
394,099 9,4785
395,1 9,4692
396,099 9,4586
397,099 9,4475
398,1 9,4513
399,099 9,4324
400,1 9,4248
401,099 9,4229
402,099 9,41
403,099 9,3986
404,1 9,3914
405,1 9,3773
406,1 9,3706
407,099 9,3644
408,1 9,3506
409,099 9,3468
410,1 9,3357
411,1 9,3243
412,1 9,3166
413,1 9,3034
414,099 9,2953
415,1 9,2853
416,099 9,2757
417,1 9,2727
418,099 9,2622
419,1 9,2518
420,099 9,2403
421,1 9,2344
422,099 9,2302
423,1 9,2204
424,099 9,2075
425,099 9,2011
426,1 9,1941
427,099 9,1908
428,1 9,1816
429,1 9,1706
430,099 9,1622
431,099 9,1548
432,1 9,1465
433,099 9,142
434,1 9,1316
435,1 9,1146
436,099 9,112
437,099 9,107
438,099 9,0959
439,1 9,0841
440,1 9,0739
441,099 9,0619
442,099 9,0569
443,099 9,0518
444,099 9,0388
445,1 9,0293
446,099 9,0206
447,099 9,01
448,1 8,9993
449,1 8,9904
450,099 8,9828
451,1 8,9666
452,099 8,9659
453,1 8,9626
454,099 8,9561
455,1 8,9424
456,1 8,934
457,099 8,9237
458,1 8,9136
459,099 8,9007
460,1 8,8907
461,099 8,8878
462,1 8,8755
463,099 8,8675
464,1 8,8637
465,099 8,8595
466,1 8,85
467,101 8,835
468,1 8,8404
469,1 8,8321
470,099 8,816
471,1 8,8087
472,099 8,7986
473,099 8,7957
474,099 8,7868
475,1 8,7777
476,1 8,7701
477,099 8,7594
478,1 8,751
479,099 8,7494
480,1 8,7346
481,1 8,7301
482,099 8,72
483,099 8,7079
484,099 8,7046
485,1 8,7008
486,1 8,6913
487,099 8,6876
488,1 8,6759
489,1 8,6705
490,099 8,6588
491,099 8,6468
492,1 8,636
493,1 8,6292
494,099 8,6213
495,099 8,6163
496,1 8,6039
497,099 8,5917
498,099 8,5878
